ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_Spent,Total_Purchases,Total_Children,Customer_Days,Cluster,PCA1,PCA2
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,80,317,11,0,4871,2,-0.4749467065314357,0.38183946049667333
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,77,1782,24,1,4662,3,2.327555111135388,1.2269039901211083
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,41,133,6,1,4807,2,-1.313348818616183,0.1706739339654393
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,44,316,11,0,4894,2,-0.5814645766397687,0.2626362716767926
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,47,1730,28,1,4743,1,0.5615910891444125,4.980027344419689
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,0,77,972,14,1,4757,1,0.02620653173358697,1.3408623193215436
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,72,544,17,1,4373,3,0.6668254117030752,-0.24514653592947555
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,75,444,13,1,4672,1,-1.168652314861658,2.1189029182705448
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,57,75,6,0,4747,2,-1.406555988223482,-0.26528814380854077
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,50,257,10,2,4602,1,-1.326280128197416,0.9277799955659841
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,40,637,27,1,4698,3,1.7958756424381455,-0.2715248388766207
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,37,131,7,1,4598,0,-0.6632953506143517,-0.7686653464005913
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,61,1672,25,0,4423,3,3.5189511534535676,-0.39034029615816696
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,37,30,6,0,4242,0,-1.3032644179090123,-1.9821450992202447
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,63,318,10,0,4618,2,0.23686536611971215,-1.1244121239350215
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,0,56,120,7,1,4831,2,-0.9550062220039994,0.1184829879669768
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,1,74,302,11,2,4812,1,-1.3513090984453258,2.057306335440847
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,80,1196,17,0,4698,3,1.3929222032403838,0.27683520346444396
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,75,65,5,2,4508,0,-1.6581331876314445,-0.5551200572378633
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,56,913,23,1,4384,3,1.5986245827263375,0.635916460231955
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,50,81,6,1,4504,2,-1.8349100213551042,-0.26594239406407116
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,53,67,5,1,4342,0,-1.0705786974535543,-1.223821928049486
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,0,1,83,902,22,0,4717,3,1.131254306727708,0.6268751533335792
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,46,1395,19,1,4630,3,1.9039916072424967,0.5704348031932609
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,41,53,5,1,4678,2,-2.0822727896297275,-0.05337870164744108
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,69,22,3,1,4756,2,-1.6456999129482885,-0.7312353062449193
7281,1959,PhD,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,67,186,8,0,4440,0,0.4642892247882057,-1.7849628771418438
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,51,31,5,1,4474,0,-1.986723293365936,-0.7888741015033219
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,50,984,15,0,4205,3,2.373090686431325,-1.8392525626105363
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,1,30,122,7,0,4801,2,-1.985150369856703,0.3981735743070999
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,58,55,4,1,4605,2,-1.9286244210472543,-0.2790163963720606
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,75,124,7,3,4383,0,-1.8736379305313091,0.11904366256896212
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,72,1319,19,2,4802,1,0.03136450824376995,4.11271121204503
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,69,507,16,1,4252,3,1.066910424164305,-1.496430363736489
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,62,1693,28,0,4891,3,3.4130292108229794,1.0104292123097431
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,49,72,5,1,4747,2,-1.561214820547955,0.039843696651738265
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,0,1,49,1617,20,0,4226,3,3.2644648623304837,-1.3460801517057452
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,48,606,16,2,4586,1,0.10734811423199164,1.869151112762227
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,1,71,1957,26,0,4791,3,3.9287499232372944,0.565104053121479
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,1,60,1093,20,0,4657,3,2.217429975322753,-0.19550713589941487
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,38,29,5,1,4266,0,-1.0412557749809455,-2.1517849174365886
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,44,46,5,1,4581,2,-1.062014028505003,-0.4726338503885657
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,58,518,16,1,4322,0,-0.11914284890153086,-0.03217664891873825
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,44,1438,20,0,4564,3,2.9563261952852016,-0.5728033427883056
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,51,612,18,2,4864,1,0.45699818586817414,1.6914052993192057
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,74,884,20,1,4700,1,0.4903175069498005,1.6023910640638002
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,75,606,18,1,4587,3,0.817394117765595,-0.11026648726340905
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,78,1076,15,0,4409,3,1.722474260821215,-0.9708778945071221
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,1,55,34,4,1,4608,2,-1.8073144878760146,-0.7369242249187105
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,59,11,3,2,4253,0,-2.233254448771937,-1.4822468108943496
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,0,1,47,1274,31,1,4306,3,2.6522785696541984,0.05095338050342046
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,68,653,17,1,4479,3,0.9907481613638162,-0.5532088260894238
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,56,1562,12,3,4651,1,0.03684464840940432,2.833327937719445
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,72,1253,18,0,4860,3,1.996764517741618,0.9210747566942761
10629,1973,2n Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,53,109,6,1,4857,2,-1.362408319856481,0.8766897198337927
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,67,863,26,1,4673,1,0.9256866380221164,1.8111351399391766
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,0,51,661,19,2,4654,1,-0.30731498359513326,2.064680954782473
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,74,65,7,0,4264,0,-0.23068996382025078,-2.465995734549982
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,49,13,3,1,4761,2,-1.3889680656273993,-0.4496613771015185
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,1,54,1890,18,0,4875,3,2.5257211841573732,0.8504345405147512
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,50,2209,22,0,4829,3,3.2966366051955385,0.5772291123582868
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,1,0,50,18,3,0,4502,0,-0.7462060621745127,-1.9577398148705123
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,0,1,61,692,19,0,4747,1,0.5796900661732727,0.7285281034525134
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,41,165,8,1,4873,2,-1.7345937227240837,1.3346835412856826
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,57,16,3,1,4575,2,-1.8933943758037872,-0.9526670154765279
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,53,79,6,1,4565,2,-1.835868678516471,-0.09083955094126328
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,63,318,10,0,4618,2,0.23686536611971215,-1.1244121239350215
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,39,778,26,0,4328,3,2.917746458472935,-1.1346166733401768
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,66,56,5,2,4526,0,-2.1787593960878557,-0.22241509688647018
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,0,56,151,8,2,4552,1,-1.9912052411858985,0.9689070614528952
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,69,372,13,1,4236,0,-0.6472111401829984,-0.2143455565133665
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,53,1366,18,0,4252,3,2.700208754904488,-1.3237079067173374
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,59,194,9,1,4363,0,0.12718691985977768,-1.614597491820599
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,69,603,17,3,4791,1,-2.0305511238516156,5.0385823309562054
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,69,18,3,2,4237,0,-1.7856141553414182,-1.394561383922006
5798,1973,Master,Together,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,53,985,14,0,4422,3,1.6710336459994182,-1.4017137982834957
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,54,32,4,1,4302,0,-1.4377709795569014,-1.4990532001394758
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,56,43,7,1,4240,0,-1.4693721606188792,-1.1850338250699828
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,43,45,5,1,4242,0,-1.4864704358687357,-1.8295391216455164
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,0,66,606,17,1,4788,1,-0.13223571097675174,1.8016927756653
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,54,63,5,2,4648,2,-1.6806419310304865,0.13680326497184483
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,75,978,24,0,4414,3,2.730966427783051,-0.7830811617044612
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,43,410,14,0,4578,3,0.4085334490800887,-0.42315137375296025
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,66,72,5,1,4545,2,-1.4765696239981527,-0.38962094320856633
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,67,55,5,1,4295,0,-1.4452913153885851,-1.3248486103348835
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,47,1169,25,1,4639,3,2.0744139278166154,0.9988108759051301
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,81,1120,15,0,4612,3,1.6643019034231334,-0.38576451694941866
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,1,67,1097,19,0,4256,3,2.8733719022412303,-1.4924938646300006
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,47,29,4,1,4405,0,-1.4970784492058558,-1.5177834983652594
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,62,187,9,2,4482,0,-1.5425271080321412,0.5296779525411355
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,57,910,22,2,4716,1,0.13401053673557595,1.9340573517961082
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,48,145,7,1,4761,2,-1.3226878411045464,0.16385780247662973
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,66,850,13,0,4773,3,2.168079899001878,-0.34467894191510084
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,47,969,23,1,4443,3,1.996610702763629,-0.3126212807295799
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,35,1820,16,0,4800,3,1.5051307482782421,1.008724695518448
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,0,63,608,17,1,4208,0,0.2046022606647826,-0.42158589854987083
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,35,730,24,0,4747,3,2.55004098865209,0.24010383521305656
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,46,551,16,1,4768,1,-0.5149762362709358,1.7327759254024795
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,64,114,6,2,4496,0,-1.4354772185978777,-0.3493237522297661
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,56,1724,15,0,4360,3,3.2884060769499217,-1.4989215846759063
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,48,577,15,1,4699,1,-1.0478733777530296,1.789951301761992
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,59,81,5,2,4557,0,-1.7931255332663318,-0.3849631758251043
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,57,33,5,1,4431,0,-1.7494358446728655,-1.0253262987676526
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,73,660,18,1,4578,1,0.5666625555571778,0.7519600277468457
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,1,59,80,6,1,4329,0,-1.31912733634972,-1.0197867140474268
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,41,30,4,2,4502,0,-2.4984678129585487,-0.4180676245421858
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,50,43,4,1,4637,2,-1.6775047841104291,-0.6249991968164886
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,43,1135,27,0,4678,3,3.6669014355091525,-0.082503288103359
1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,61,559,14,0,4700,3,1.7087864742863492,-0.3916107592343869
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,1,42,1923,15,0,4638,3,3.1342569695032614,-0.3889002918396657
3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,73,90,6,2,4225,0,-1.3718963297976894,-1.045850372862368
8268,1961,PhD,Married,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,65,404,14,1,4557,1,-0.28199425650194704,0.2825475736628812
11051,1956,PhD,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,70,661,19,2,4254,1,0.6404553319156265,0.3402348994571571
8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,74,463,14,1,4476,1,0.04781936602293365,0.6453189054691589
433,1958,Master,Alone,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,68,632,18,2,4680,1,-0.5605473725371303,2.15562271438875
9597,1969,Graduation,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,57,725,18,0,4343,3,1.6800740891305208,-1.143515475105788
1295,1963,Graduation,Married,51381.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,63,725,18,1,4526,3,0.7393907861971866,-0.32767004975327935
5290,1964,PhD,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,62,279,11,2,4523,1,-1.7419876900953497,1.221403852462053
1685,1967,PhD,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,0,59,1482,22,0,4673,3,2.4955159450347795,0.03253562885970412
5342,1976,Basic,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,50,29,4,1,4894,2,-2.4281711470675402,0.3655978133401907
9579,1959,PhD,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,67,106,6,3,4561,0,-2.6963700143574942,0.6838211292951698
7660,1973,PhD,Alone,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,0,1,53,49,4,2,4245,0,-1.7863368313559522,-1.3135509746174727
1461,1965,PhD,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,61,38,5,2,4540,0,-2.029848800611378,-0.1832607543554869
821,1992,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,34,2077,21,0,4822,3,3.777757602089079,0.6212675269671962
11084,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,1,50,1053,15,1,4431,3,0.522149250538382,0.04778561734197221
8690,1962,Graduation,Married,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,64,1385,22,0,4640,3,3.1241045249274153,-0.06074539788289888
2937,1974,PhD,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,52,871,22,1,4509,1,0.9989326163830994,0.7745994451726954
9701,1988,Graduation,Together,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,38,312,9,1,4671,2,-1.0591319512594448,0.4049565209178642
9949,1976,Graduation,Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,50,877,12,2,4823,1,-0.6266929764110218,1.6890975067319967
10837,1975,Graduation,Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,1,51,68,5,1,4813,2,-1.592069929269418,-0.29077692342174205
3120,1981,Graduation,Together,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,1,0,45,22,3,1,4509,2,-1.7677503844605362,-0.9041839238741903
5885,1973,2n Cycle,Married,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,53,211,9,3,4880,1,-2.6530832146620327,3.0621640427204704
4050,1966,Master,Married,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,60,127,7,0,4212,0,0.13508275771639797,-2.3641109654444388
3830,1953,Master,Married,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,73,459,15,2,4270,0,0.1967114535288745,-1.0584282019495388
